n,k,avg_rprmax,avg_rppmax
29,24,0.01423260479290544,0.5723389498377143
29,26,0.017727590463984415,0.7726836913924073
29,28,0.029270894848779972,1.3943730304187605
30,2,0.0011416207433176703,0.005327662471989508
30,3,0.005152669772322615,0.03332408950062279
30,4,0.007474267672138475,0.061334971881509506
30,5,0.008176565215334969,0.08094809045343963
30,6,0.00858866323401524,0.09932620276111186
30,7,0.008851239776464688,0.11690452474882343
30,8,0.008939973234918904,0.13259903856339708
30,9,0.009047818171249031,0.14877845538007625
30,10,0.00910014082527139,0.16419388334290588
30,11,0.009129221287829408,0.17922974730638003
30,12,0.009201583678627232,0.19521328697968826
30,13,0.009268250147155342,0.21123255777253958
30,14,0.009366894601781039,0.22819709919491865
30,15,0.009479219994967189,0.24578556394333564
30,16,0.009617402545229407,0.2644079320027576
30,17,0.009799475831306036,0.2847242565264665
30,18,0.010011839538450699,0.30652608499044426
30,19,0.010268961311520467,0.33043571902065094
30,20,0.01057950063357459,0.35696985178987395
30,21,0.010958460289038574,0.38693069129498453
30,22,0.011428117566748702,0.42149438051944443
30,23,0.01201275788145738,0.46206724965933954
30,24,0.012760455230868353,0.5112002914098567
30,25,0.013746750663887286,0.5729592252930585
30,26,0.01510994808045571,0.654760978198235
30,27,0.017138050142129338,0.7720456428239663
30,28,0.02057391297598774,0.9647583647744982
30,29,0.02832612397460232,1.390998812587433
31,2,0.0010509006751173024,0.004898772161273573
31,4,0.006981589661296317,0.05721117140613872
31,6,0.008220596960239357,0.09493718876777557
31,8,0.00859625539743367,0.12731842291529052
31,10,0.008681507695256215,0.15639424061687549
31,12,0.008780892765135117,0.18598446956252082
31,14,0.008907387553322018,0.21662586084703053
31,16,0.009119759563093133,0.2502644491410407
31,18,0.009437279103222814,0.2883536492970068
31,20,0.009899119458283277,0.3332653708026657
31,22,0.010578167614571778,0.38913988951118605
31,24,0.01160585298127189,0.46347180384156134
31,26,0.01329334612287281,0.5735075394320603
31,28,0.016587345297895403,0.7714403810833461
31,30,0.027442244026729862,1.3878552667260846
32,2,0.0009699520076105197,0.004516675437337398
32,3,0.004743241692407952,0.03060543422344562
32,4,0.006571852955997386,0.05378571814592455
32,5,0.00754105545818589,0.07446543086756695
32,6,0.007974924153911099,0.09198785191504721
32,7,0.008202017833516262,0.10803756780355893
32,8,0.00825137460545849,0.12204378420057065
32,9,0.008278512224050771,0.13572862184053536
32,10,0.00832634714017318,0.14978184556356014
32,11,0.008362977626663137,0.16368685360418256
32,12,0.008395955101896968,0.17756169757627954
32,13,0.008437398840485062,0.1916758884713969
32,14,0.008498855054237593,0.20636058474071467
32,15,0.00857205981236055,0.22150065480142772
32,16,0.008670449594546815,0.23752950809970708
32,17,0.008782206231290664,0.25422400377576304
32,18,0.008925170460447081,0.2722027454747394
32,19,0.009097509104360689,0.2915575321869609
32,20,0.009306804290487181,0.312689720896901
32,21,0.009556166839783263,0.3358896374214824
32,22,0.009857122699910587,0.3617824895674644
32,23,0.01022214596906152,0.3911061261516009
32,24,0.010668856259201307,0.4248908157815322
32,25,0.011226412009241547,0.46477430755394195
32,26,0.011935565002365235,0.513105485582454
32,27,0.012869709804865908,0.5740148467754553
32,28,0.014157608521737952,0.6548020624012605
32,29,0.016071749516650094,0.770866727876774
32,30,0.019310709440377282,0.9618613998021756
32,31,0.02661347343616408,1.3849195215482644
33,2,0.0008974632745978791,0.004175011027999783
33,4,0.006491738793531314,0.05307649825932126
33,6,0.0077335446296426915,0.08910099510349735
33,8,0.007938577348288765,0.11726840847573261
33,10,0.008003195675676585,0.14377741159277208
33,12,0.008036895143932622,0.1697267777994839
33,14,0.008121751984901372,0.19691040367721446
33,16,0.008259734522312233,0.2259198351965927
33,18,0.00847142934396827,0.2579271831304251
33,20,0.008787001032586918,0.29468090194468183
33,22,0.009236275003238262,0.3382963588088298
33,24,0.009889195826420467,0.39289790132030616
33,26,0.010870336642413912,0.4659257304382054
33,28,0.012472063398609663,0.574443057277593
33,30,0.015587962266579788,0.770321600367204
33,32,0.025834745603328015,1.382171632522187
34,2,0.0008323317181786519,0.0038684429921506617
34,3,0.004085189074079672,0.026302740799888823
34,4,0.00610658775332205,0.04987140031522288
34,5,0.007008356016150861,0.06905043207517188
34,6,0.007416513572887075,0.08534932597491043
34,7,0.007512866872422988,0.09871416825806852
34,8,0.007641193367945652,0.11274055696534373
34,9,0.007639758646067717,0.1249376297818245
34,10,0.007675510292699911,0.13771441613956142
34,11,0.007714962754072878,0.15060371892746022
34,12,0.007722773663560752,0.16288022686828935
34,13,0.0077480187051282455,0.17552432834051418
34,14,0.0077829037296849105,0.18843490615227937
34,15,0.007822951892036419,0.20154633597556448
34,16,0.007888589508871417,0.21545197626579826
34,17,0.00796276008549508,0.229778095137006
34,18,0.008060387919260264,0.24502750750575092
34,19,0.008182879114462744,0.26135908996319224
34,20,0.008322532564918432,0.2786310546477953
34,21,0.008492859269676883,0.2974066501194469
34,22,0.008695634865851044,0.31789910949087147
34,23,0.008938175217457501,0.3405479011630749
34,24,0.009227779761961857,0.3658393433645498
34,25,0.009577724990381117,0.39455870836702117
34,26,0.010005802886278427,0.4277763331693588
34,27,0.010537379221095558,0.4670256184380608
34,28,0.01121228311419837,0.5146940394131813
34,29,0.0120991215374729,0.5748517888804126
34,30,0.013320527407801156,0.6547990154173976
34,31,0.01513310995178636,0.7698034708344852
34,32,0.01819721708211973,0.9593055992577355
34,33,0.02510160117571271,1.3795941282412272
35,2,0.0007736251726221782,0.003592471067385054
35,4,0.006003091536421073,0.04898140649252246
35,6,0.007157841292668316,0.08228546763782488
35,8,0.007362639727276077,0.10850857287165536
35,10,0.0073950783345006306,0.13252767080565492
35,12,0.00741509641662943,0.15619639020302067
35,14,0.007461911979189881,0.18042803211746045
35,16,0.007551421064390126,0.20596218839086347
35,18,0.007695178505173055,0.23358796031588658
35,20,0.007907962959617142,0.26433826870823457
35,22,0.008218775953116953,0.2999529719748774
35,24,0.008657585902648696,0.34257651886033114
35,26,0.009285554379288881,0.39609590566084163
35,28,0.01022379579124973,0.46800769429775724
35,30,0.011748367909056926,0.5752303653957322
35,32,0.014704611910689808,0.7693085162564091
35,34,0.02441009929282029,1.377171638627412
36,2,0.0007205517544666208,0.003343280355348935
36,3,0.004058966194037306,0.026090202809562785
