n,k,avg_rprmax,avg_rppmax
30,17,0.012455572189571416,0.5060215837491958
30,18,0.012664369332654015,0.5285659892728969
30,19,0.01293369010428519,0.5529170570251779
30,20,0.013273669003207866,0.579586422317834
30,21,0.013702621269883242,0.6093751269526712
30,22,0.014248172648778867,0.6434722865189602
30,23,0.014940587558629297,0.6833529486650141
30,24,0.015840556187925695,0.7317782059000173
30,25,0.01704411835533158,0.7934462531427533
30,26,0.01872839620603144,0.8777806053741083
30,27,0.021265267712057844,1.007823789377361
30,28,0.025624374691887778,1.2669004458869735
30,29,0.03567181926278221,inf
31,2,0.001823647011894304,0.06146683092472136
31,4,0.010648327464667023,0.2128534881521827
31,6,0.011780285377096524,0.2769067339746921
31,8,0.011848919308598592,0.32347037131956374
31,10,0.011644010916444947,0.3613700864686899
31,12,0.011539316612475274,0.3973460952409249
31,14,0.01152043448189566,0.4326002678894726
31,16,0.011645741420028798,0.46957813674562654
31,18,0.011927293828841366,0.5098620170421085
31,20,0.01240651830327048,0.5558556172851121
31,22,0.013169623982371498,0.6116645684276607
31,24,0.014378144404659149,0.6848774084556386
31,26,0.01642316946950474,0.7942251907814544
31,28,0.02051333298501337,1.0075952880203105
31,30,0.034444444444444625,inf
32,2,0.001683221431443664,0.059016510288649245
32,3,0.007603389322977663,0.15452030256054572
32,4,0.010021620799228881,0.2061085359608493
32,5,0.01109992315850782,0.24391868824432486
32,6,0.01142664924782304,0.2723734203391192
32,7,0.01150323516694575,0.29644564667529616
32,8,0.011370299150214654,0.3162649883850278
32,9,0.011240288082162299,0.33476552484529903
32,10,0.011163733627942134,0.35302614869399307
32,11,0.011091054735858035,0.3704715384048038
32,12,0.011028614783874837,0.3873529010883708
32,13,0.01098950286373479,0.40406106973654926
32,14,0.01098635048060571,0.4210145725463719
32,15,0.011006245322001505,0.4380964771629242
32,16,0.01106505584592236,0.4558008797821646
32,17,0.01114613164272365,0.47388226815030493
32,18,0.011271376826495174,0.4930049875725313
32,19,0.011437418641329269,0.5132484199695979
32,20,0.01165309513539962,0.5350134101536108
32,21,0.011921620218929355,0.5585796372504774
32,22,0.012256968989403117,0.5845663926394009
32,23,0.012674336445555606,0.6137075617973884
32,24,0.013195466568883176,0.6470485666401328
32,25,0.013856735745400093,0.6862937322259793
32,26,0.014709310497889524,0.7340062999207736
32,27,0.015845959862593875,0.7949490986226065
32,28,0.017430563588561314,0.878421071320787
32,29,0.01981258332227429,1.0073718027480008
32,30,0.02389747021445053,1.264350624028064
32,31,0.03329864724245595,inf
33,2,0.0015574689638410814,0.05673660452256332
33,4,0.009899493199164845,0.20480432074605587
33,6,0.011079256080233541,0.2678711862463653
33,8,0.010936456079513227,0.3096318245573605
33,10,0.010727043561052977,0.3453270085951545
