n,k,avg_rprmax,avg_rppmax
25,14,0.0163765,0.7850737
25,16,0.0171821,0.8626918
25,18,0.018562000000000002,0.9548941
25,20,0.021008,1.0786452
25,22,0.0260313,1.2741973
25,24,0.043403,1.79142
26,2,0.002844,0.122791
26,3,0.009056400000000001,0.26811559999999995
26,4,0.0132765,0.3762944
26,5,0.0147201,0.4437654999999999
26,6,0.0149005,0.48965239999999993
26,7,0.014991999999999997,0.5309641999999999
26,8,0.0150549,0.5695375
26,9,0.0149865,0.6033283999999999
26,10,0.014940400000000001,0.6356241
26,11,0.0149312,0.6670901
26,12,0.014988200000000002,0.6987084
26,13,0.0151087,0.7311017
26,14,0.015290799999999998,0.7644054
26,15,0.015555800000000003,0.7991241
26,16,0.0158972,0.8356451999999999
26,17,0.016347700000000003,0.8750384
26,18,0.016942199999999998,0.918357
26,19,0.017704699999999997,0.9666618999999999
26,20,0.018714800000000004,1.0228779
26,21,0.020076000000000004,1.0893949
26,22,0.021998599999999997,1.1727889
26,23,0.024915099999999996,1.2850704
26,24,0.02995,1.456355
26,25,0.0416,1.801305
27,2,0.002585,0.118103
27,4,0.013088499999999998,0.3769591
27,6,0.0141038,0.4802737
27,8,0.014175199999999999,0.5570676
27,10,0.0141397,0.6232603999999999
27,12,0.0141514,0.6843391999999999
27,14,0.0143491,0.7460814
27,16,0.0148065,0.8121615999999999
27,18,0.015599500000000002,0.887209
27,20,0.016924099999999997,0.9779820000000001
27,22,0.019222700000000002,1.1001153000000001
27,24,0.023891,1.2955342
27,26,0.039941,1.812756
28,2,0.002358,0.113745
28,3,0.0090696,0.27303550000000004
28,4,0.012310500000000002,0.3685766
28,5,0.013080100000000002,0.42521829999999994
28,6,0.013544,0.4744547999999999
28,7,0.013553800000000001,0.5131001000000001
28,8,0.013558400000000002,0.5491435
28,9,0.0134715,0.5811111999999999
28,10,0.013435099999999997,0.6122962
28,11,0.0133687,0.6410500000000001
28,12,0.013392000000000001,0.6708527000000001
28,13,0.0134314,0.6999472999999999
28,14,0.0135166,0.7293722999999999
28,15,0.013663199999999997,0.7599000000000001
28,16,0.0138596,0.7913723
28,17,0.014127399999999998,0.8246155
28,18,0.0144731,0.8600151
28,19,0.0149146,0.8984690000000001
28,20,0.015478500000000001,0.9408195999999999
28,21,0.0162079,0.9887206
28,22,0.017159100000000004,1.043887
28,23,0.018436700000000004,1.1102799
28,24,0.0202329,1.1933943999999999
28,25,0.022947,1.3057629
28,26,0.02762,1.476841
